Study,Diff in means,Common SD,Treat N,Con N,Std diff in means,Std Err,g,Std Err,Mode of input
Al-Shehri (2015_Average),28.355,13.58852671,20,26,2.08668685024795,0.368497589359398,2.05091507567227,0.362180487827522,Listening
"Day, Omura, & Hiramatsu (1991) (1)",1.1,2.874379506,92,89,0.382691289617064,0.150033614669807,0.381085591898391,0.149404102999864,Reading
"Day, Omura, & Hiramatsu (1991) (2)",3.06,3.1992437,200,197,0.956476057138129,0.105963869731629,0.954658813204365,0.105762545089961,Reading
Hatami (2017_Average) (1),3.53,2.983437615,47,47,1.18319886504481,0.223606316688497,1.17352693971747,0.22177847213791,Listening
Hatami (2017_Average) (2),6.33,3.1364517,37,47,2.01820420190115,0.269348385064797,1.99968856702132,0.266877298963285,Reading
Koolstra & Beentjes (1999) (1),2.04,13.66839603,42,42,0.149249406844996,0.218521484525135,0.147880146231739,0.216516700263437,Viewing 
Koolstra & Beentjes (1999) (2),5.05,12.87849758,40,40,0.39212648592197,0.225745475881599,0.388343915318221,0.223567866789493,Viewing 
Miyasako (2002),1.86,2.170355922,31,29,0.857002292179799,0.269928257524409,0.84587239228136,0.266422695738378,Reading
Neuman & Koskinen (1992),11.83,13.08004314,37,28,0.904431267800849,0.262742438587627,0.893621332329126,0.259602090716062,Viewing 
"Pitts, White, & Krashen (1989)",1.907,3.695065725,35,23,0.516093661635748,0.272664323165011,0.509150697577868,0.268996193256961,Reading
Reynolds (2014),0.183,0.066788748,32,27,2.73998248926601,0.363194097753304,2.70377126694091,0.358394175756564,Reading
Reynolds (2018) (1),5.64,2.754615152,80,73,2.0474729458687,0.199745968457374,2.03728651330219,0.198752207420272,Reading
Reynolds (2018) (2),5.04,3.462700827,89,114,1.45551124737696,0.158826626150774,1.45007347185749,0.158233251457807,Reading
Rodgers & Webb (2019_Average),1.225,2.743286799,187,73,0.446544634139801,0.139390420461969,0.445245280209229,0.138984822730266,Viewing 
Rott (1999_Average),4.815,1.399467179,16,47.5,3.4405951581091,0.420431717119534,3.39880655294988,0.415325259016867,Reading
Webb (2007),5.105,1.476751464,24,22,3.45691209688891,0.465848836752872,3.39765074665652,0.457862856694251,Reading
Alahirsh (2014_Average),6.615,1.835551688,18,18,3.60382115265174,0.539901314288856,3.52373623814836,0.52790350730466,Reading
Daskalovska (2016_Average) (1),12.29,16.4781521,33,31,0.745836057672996,0.25866380753091,0.736777320130409,0.255522141852396,Reading
Daskalovska (2016_Average) (2),15.985,11.00828438,30,28,1.45208821358592,0.295338554846733,1.43255339456907,0.291365390431754,Reading
Donkaewbua (2009_Average),2.43,10.87715763,28,24,0.223403951901725,0.279035570749852,0.220036053129337,0.274829004356638,Listening
Feng & Webb (2019_Average) (1),0.016,0.131506454,21,19,0.121667032402836,0.316915860128659,0.119249806593508,0.310619518536698,Reading
Feng & Webb (2019_Average) (2),0.106,0.129713145,15,19,0.817187803132828,0.359331008455162,0.797884154239927,0.350842874397166,Listening
Feng & Webb (2019_Average) (3),0.163,0.152388872,21,19,1.06963190855563,0.338455361626789,1.04838094348499,0.331731082918972,Viewing 
"Pavia, Webb, & Faez (2019_Average)",1.85,2.695762253,39,26,0.686262298517317,0.260240854057863,0.678059960288026,0.257130405602989,Listening
Pellicer?S疣chez & Serrano(RO),4.94,9.917912415,22,25,0.49808868976587,0.296806040534676,0.489740834630129,0.291831637620687,Reading
Pellicer?S疣chez & Serrano(RWL),5.19,9.3,47,25,0.558064516129032,0.25187168513667,0.552063822407215,0.249163387447029,RWL
Peters & Webb (2018_Average) (1),1.25,8.093241615,36,27,0.15444985575165,0.25495909140594,0.152543067409037,0.251811448302163,Viewing 
Peters & Webb (2018) (2),3.45,9.731511702,37,25,0.354518404297964,0.260845935407952,0.350068382486692,0.257571718645509,Viewing 
Vidal (LO),27.91,2.431774044,112,38,11.4772176587966,0.688718213926104,11.4189576706809,0.685222182383332,Listening
Vidal (RO),40.9,2.702144902,80,38,15.1361238880001,1.00478257338717,15.0380496511448,0.998272103149235,Reading
Watanabe (1997),4.13,4.364307782,48,45,0.946312727308928,0.218792398179362,0.938491960967532,0.216984196541516,Reading
Webb & Chang (2015),15.25,14.93279277,61,21,1.02124232451931,0.26527694094439,1.0116381647276,0.262782173474693,RWL
Dang et al. (2020),1.59,6.88,28,27,0.231104651162791,0.270623100244175,0.227818803041993,0.266775378439756,Viewing 
Montero Perez (2020),2.86,1.51,41,22,1.89403973509934,0.313554000021505,1.87065652849317,0.309682962984202,Viewing 
